block	trialType	trial	signal	response	ssd	rt
4	testBlocks	38	1	0	0.6000000000000001	NaN
4	testBlocks	39	0	1	NaN	0.827253548981389
4	testBlocks	40	0	1	NaN	0.771455962996697
4	testBlocks	41	0	1	NaN	0.8001233020040672
4	testBlocks	42	0	1	NaN	0.8146098159777466
4	testBlocks	43	0	1	NaN	0.8158312160230707
4	testBlocks	44	0	1	NaN	0.8212646289903205
4	testBlocks	45	1	1	0.6250000000000001	0.8021922640036792
4	testBlocks	46	0	1	NaN	0.7976537010108586
4	testBlocks	47	1	1	0.6000000000000001	0.7881659370032139
4	testBlocks	48	0	1	NaN	0.7765970579930581
4	testBlocks	49	0	1	NaN	0.7791057669965085
4	testBlocks	50	0	1	NaN	0.7759087799931876
4	testBlocks	51	1	0	0.5750000000000001	NaN
4	testBlocks	52	0	1	NaN	0.8292594189988449
4	testBlocks	53	0	1	NaN	0.7870504719903693
4	testBlocks	54	0	1	NaN	0.787058571993839
4	testBlocks	55	0	1	NaN	0.813288785982877
4	testBlocks	56	0	1	NaN	0.7792639270192012
4	testBlocks	57	1	1	0.6000000000000001	0.7831764420261607
4	testBlocks	58	0	1	NaN	0.78865763702197
4	testBlocks	59	0	1	NaN	0.7901851310161874
4	testBlocks	60	0	1	NaN	0.7911085830128286
4	testBlocks	61	0	1	NaN	0.812183397996705
4	testBlocks	62	0	1	NaN	0.8101218170195352
4	testBlocks	63	0	1	NaN	0.7780875400057994
4	testBlocks	64	1	0	0.5750000000000001	NaN
5	testBlocks	1	0	1	NaN	0.7972872469981667
5	testBlocks	2	0	1	NaN	0.9197078009892721
5	testBlocks	3	0	1	NaN	0.7476793480163906
5	testBlocks	4	0	1	NaN	0.7928224400093313
5	testBlocks	5	0	1	NaN	0.770003502984764
5	testBlocks	6	0	1	NaN	0.7850082509976346
5	testBlocks	7	1	1	0.6000000000000001	0.7755981159862131
5	testBlocks	8	1	0	0.5750000000000001	NaN
5	testBlocks	9	0	1	NaN	0.8476850839797407
5	testBlocks	10	1	1	0.6000000000000001	0.7837071400135756
5	testBlocks	11	0	1	NaN	0.808470411982853
5	testBlocks	12	0	1	NaN	0.8135573549952824
5	testBlocks	13	0	1	NaN	0.803957154013915
5	testBlocks	14	1	0	0.5750000000000001	NaN
5	testBlocks	15	0	1	NaN	0.8032708419777919
5	testBlocks	16	0	1	NaN	0.8234426449926104
5	testBlocks	17	0	1	NaN	0.7823322509939317
5	testBlocks	18	0	1	NaN	0.7839122779842
5	testBlocks	19	0	1	NaN	0.7673449059948325
5	testBlocks	20	0	1	NaN	0.7863680070149712
5	testBlocks	21	0	1	NaN	0.8200970489997417
5	testBlocks	22	0	1	NaN	0.7883824399905279
5	testBlocks	23	0	1	NaN	0.811078186990926
5	testBlocks	24	1	1	0.6000000000000001	0.9954290149908047
5	testBlocks	25	0	1	NaN	0.7803596320154611
5	testBlocks	26	0	1	NaN	0.812166313000489
5	testBlocks	27	0	1	NaN	0.8188968180038501
5	testBlocks	28	1	1	0.5750000000000001	0.7704351089778356
5	testBlocks	29	0	1	NaN	0.8068643730075564
5	testBlocks	30	0	1	NaN	0.8152078809798695
5	testBlocks	31	1	0	0.55	NaN
5	testBlocks	32	1	0	0.5750000000000001	NaN
5	testBlocks	33	1	1	0.6000000000000001	0.8130286759987939
5	testBlocks	34	0	1	NaN	0.8262871860060841
5	testBlocks	35	1	0	0.5750000000000001	NaN
5	testBlocks	36	0	1	NaN	0.7880692890030332
5	testBlocks	37	0	1	NaN	0.7634254849981517
5	testBlocks	38	0	1	NaN	0.8575342940166593
5	testBlocks	39	0	1	NaN	0.8105750789982267
5	testBlocks	40	0	1	NaN	0.7675024929922074
5	testBlocks	41	0	1	NaN	0.7976891899888869
5	testBlocks	42	1	1	0.6000000000000001	0.7910776110074949
5	testBlocks	43	1	0	0.5750000000000001	NaN
5	testBlocks	44	0	1	NaN	0.7901928270002827
5	testBlocks	45	1	1	0.6000000000000001	0.7947154929861426
5	testBlocks	46	0	1	NaN	0.8043334899994079
5	testBlocks	47	0	1	NaN	0.8110127790132537
5	testBlocks	48	1	1	0.5750000000000001	0.8043500630010385
5	testBlocks	49	0	1	NaN	0.7846766779839527
5	testBlocks	50	0	1	NaN	0.8238067209895235
5	testBlocks	51	0	1	NaN	0.7826828469987959
5	testBlocks	52	0	1	NaN	0.8213898749963846
5	testBlocks	53	0	1	NaN	0.7873664220096543
5	testBlocks	54	0	1	NaN	0.7745964489877224
5	testBlocks	55	0	1	NaN	0.8035656499851029
5	testBlocks	56	0	1	NaN	0.7811411170114297
5	testBlocks	57	1	0	0.55	NaN
5	testBlocks	58	0	1	NaN	0.7989971930219326
5	testBlocks	59	0	1	NaN	0.7810419590095989
5	testBlocks	60	0	1	NaN	0.7870457319950219
5	testBlocks	61	0	1	NaN	0.7711189480032772
5	testBlocks	62	1	0	0.5750000000000001	NaN
5	testBlocks	63	0	1	NaN	0.8231806429976132
5	testBlocks	64	0	1	NaN	0.8008046239847317
