ID,block,trial,stimulus,signal,correct,respons,rt,re,ssd
1011,2,2,1,0,2,1,835,1,0
1011,2,3,1,0,2,1,784,372,0
1011,2,4,1,0,2,1,708,1,0
1011,2,5,1,1,0,1,1130,1,700
1011,2,6,2,0,2,2,1001,1,0
1011,2,7,1,0,2,1,1089,1,0
1011,2,8,1,0,2,1,1125,330,0
1011,2,9,2,0,0,1,1111,1,0
1011,2,10,2,0,2,2,766,0,0
1011,2,11,1,1,2,0,0,0,650
1011,2,12,2,0,2,2,1045,649,0
1011,2,13,2,1,2,0,0,0,700
1011,2,14,1,0,2,1,1235,1,0
1011,2,15,2,0,0,0,0,0,0
1011,2,16,1,0,2,1,626,1,0
1011,2,17,2,0,2,2,800,0,0
1011,2,18,2,1,0,2,891,1,750
1011,2,19,2,1,2,0,0,0,700
1011,2,20,2,0,2,2,825,0,0
1011,2,21,2,1,0,2,921,1,750
1011,2,22,1,1,0,1,857,1,700
1011,2,23,1,0,2,1,1024,1,0
1011,2,24,2,0,2,2,1046,1,0
1011,2,25,1,1,2,0,0,0,650
1011,2,26,2,0,0,0,0,0,0
1011,2,27,2,0,2,2,917,1,0
1011,2,28,1,0,2,1,1021,0,0
1011,2,29,2,0,2,2,1002,0,0
1011,2,30,2,0,2,2,1051,1,0
1011,2,31,1,0,2,1,1048,0,0
1011,2,32,2,0,2,2,1170,1,0
1011,2,33,2,0,2,2,1157,1,0
1011,2,34,1,0,0,0,0,0,0
1011,2,35,2,1,2,0,0,0,700
1011,2,36,1,1,2,0,0,0,750
1011,2,37,1,0,2,1,955,1,0
1011,2,38,2,0,2,2,964,1,0
1011,2,39,1,1,0,1,938,338,800
1011,2,40,2,0,2,2,1145,1,0
1011,2,41,2,0,2,2,1006,1,0
1011,2,42,1,0,2,1,1077,1,0
1011,2,43,2,0,2,2,1063,1,0
1011,2,44,2,0,2,2,1028,1,0
1011,2,45,2,1,0,2,838,1,750
1011,2,46,1,0,2,1,1039,1,0
1011,2,47,1,0,2,1,794,0,0
1011,2,48,1,0,2,1,724,0,0
1011,2,49,2,1,2,0,0,0,700
1011,2,50,2,0,2,2,1091,0,0
1011,2,51,2,0,0,0,0,0,0
1011,2,52,2,0,2,2,1133,0,0
1011,2,53,2,1,0,2,871,0,750
1011,2,54,1,0,0,0,0,0,0
1011,2,55,1,0,2,1,993,335,0
1011,2,56,1,0,2,1,749,1,0
1011,2,57,1,0,2,1,804,1,0
1011,2,58,1,1,0,1,824,1,700
1011,2,59,1,0,2,1,989,1,0
1011,2,60,2,0,0,0,0,0,0
1011,2,61,1,0,0,0,0,0,0
1011,2,62,2,0,2,2,1080,1,0
1011,2,63,1,1,0,1,718,2,650
