block	trialType	trial	signal	response	ssd	rt
0 testBlocks 52 0 1 NaN 0.8261577079974813
0 testBlocks 53 1 0 0.5 NaN
0 testBlocks 54 0 1 NaN 0.8169442500002333
0 testBlocks 55 0 1 NaN 0.7910822919984639
0 testBlocks 56 0 1 NaN 0.8277980830025626
0 testBlocks 57 0 1 NaN 0.8268681669978832
0 testBlocks 58 0 1 NaN 0.8615890000000945
0 testBlocks 59 0 1 NaN 0.7938739160017576
0 testBlocks 60 1 1 0.525 0.7601769579996471
0 testBlocks 61 0 1 NaN 0.7611872500019672
0 testBlocks 62 0 1 NaN 0.8044798330010963
0 testBlocks 63 0 1 NaN 0.8477516670027399
0 testBlocks 64 0 1 NaN 0.7953133330011042
0 testBlocks 65 0 1 NaN 0.8158780829980969
0 testBlocks 66 0 1 NaN 0.8042400000013004
0 testBlocks 67 0 1 NaN 0.8054005830017559
0 testBlocks 68 1 0 0.5 NaN
0 testBlocks 69 1 0 0.525 NaN
0 testBlocks 70 0 1 NaN 0.8052312920008262
0 testBlocks 71 0 1 NaN 0.8068455409993476
0 testBlocks 72 0 1 NaN 0.7716536660009297
0 testBlocks 73 0 1 NaN 0.7815077499981271
0 testBlocks 74 0 1 NaN 0.8279549580001913
0 testBlocks 75 0 1 NaN 0.8481133749992296
0 testBlocks 76 0 1 NaN 0.7825681249996705
0 testBlocks 77 0 1 NaN 0.7931847920008295
0 testBlocks 78 0 1 NaN 0.7816836660022091
0 testBlocks 79 0 1 NaN 0.8048487499982002
1 testBlocks 0 0 1 NaN 0.8196694159996696
1 testBlocks 1 0 1 NaN 0.761076458999014
1 testBlocks 2 1 0 0.55 NaN
1 testBlocks 3 0 1 NaN 0.8163566250004806
1 testBlocks 4 0 1 NaN 0.7602002500025264
1 testBlocks 5 0 1 NaN 0.8065063750000263
1 testBlocks 6 0 1 NaN 0.7924081250021118
1 testBlocks 7 0 1 NaN 0.7935768749994168
1 testBlocks 8 0 1 NaN 0.7954392499996175
1 testBlocks 9 1 1 0.5750000000000001 0.7927172910021909
1 testBlocks 10 1 0 0.55 NaN
1 testBlocks 11 0 1 NaN 0.8153361250006128
1 testBlocks 12 1 0 0.5750000000000001 NaN
1 testBlocks 13 0 1 NaN 0.8388682910008356
1 testBlocks 14 1 1 0.6000000000000001 0.782060375000583
1 testBlocks 15 0 1 NaN 0.7937313340007677
1 testBlocks 16 0 1 NaN 0.7583539170009317
1 testBlocks 17 0 1 NaN 0.7837025000007998
1 testBlocks 18 1 1 0.5750000000000001 0.7940005000018573
1 testBlocks 19 0 1 NaN 0.826414916999056
1 testBlocks 20 0 1 NaN 0.7819975420025003
1 testBlocks 21 1 0 0.55 NaN
1 testBlocks 22 0 1 NaN 0.7904854170010367
1 testBlocks 23 0 1 NaN 0.7803618750003807
1 testBlocks 24 0 1 NaN 0.7804865420002898
1 testBlocks 25 0 1 NaN 0.782526125000004
1 testBlocks 26 0 1 NaN 0.8267114160007623
1 testBlocks 27 0 1 NaN 0.7829630829983216
1 testBlocks 28 1 1 0.5750000000000001 0.8051164579992474
1 testBlocks 29 0 1 NaN 0.8141319159985869
1 testBlocks 30 1 0 0.55 NaN
1 testBlocks 31 0 1 NaN 0.7801666659979674
1 testBlocks 32 0 1 NaN 0.7825108329998329
1 testBlocks 33 1 1 0.5750000000000001 0.8062106670004141
1 testBlocks 34 0 1 NaN 0.7938677499987534
1 testBlocks 35 0 1 NaN 0.8276922500008368
1 testBlocks 36 0 1 NaN 0.8274715420011489
1 testBlocks 37 0 1 NaN 0.8173371249977208
1 testBlocks 38 0 1 NaN 0.8056801250022545
1 testBlocks 39 0 1 NaN 0.8155438330031757
1 testBlocks 40 0 1 NaN 0.8156411250020028
1 testBlocks 41 0 1 NaN 0.8034902080034954
1 testBlocks 42 0 1 NaN 0.8058854580012849
1 testBlocks 43 1 1 0.55 0.8268307500002265
1 testBlocks 44 0 1 NaN 0.8612396669996087
1 testBlocks 45 0 1 NaN 0.7944986250004149
1 testBlocks 46 0 1 NaN 0.80517758300266
1 testBlocks 47 0 1 NaN 0.7836145000001125
1 testBlocks 48 0 1 NaN 0.7736987919997773
1 testBlocks 49 1 0 0.525 NaN
1 testBlocks 50 0 1 NaN 0.8279200830002083
1 testBlocks 51 1 0 0.55 NaN
1 testBlocks 52 1 1 0.5750000000000001 0.8059722500001953
1 testBlocks 53 0 1 NaN 0.8410325830009242
1 testBlocks 54 1 1 0.55 0.7936979999976757
1 testBlocks 55 0 1 NaN 0.8392670419998467
1 testBlocks 56 0 1 NaN 0.8286675419985841
1 testBlocks 57 0 1 NaN 0.7824442500022997
1 testBlocks 58 0 1 NaN 0.8161947500011593
1 testBlocks 59 1 0 0.525 NaN
1 testBlocks 60 0 1 NaN 0.7837351660018612
1 testBlocks 61 0 1 NaN 0.804883749999135
1 testBlocks 62 0 1 NaN 0.7714849590010999
1 testBlocks 63 0 1 NaN 0.8165648329995747
1 testBlocks 64 1 0 0.55 NaN
1 testBlocks 65 0 1 NaN 0.7954998749992228
1 testBlocks 66 0 1 NaN 0.8376920840019011
1 testBlocks 67 0 1 NaN 0.7939194579994364
1 testBlocks 68 1 1 0.5750000000000001 0.7925086670002202
1 testBlocks 69 1 1 0.55 0.7711089580006956
1 testBlocks 70 0 1 NaN 0.8273342909997154
1 testBlocks 71 0 1 NaN 0.7946411670018279
1 testBlocks 72 0 1 NaN 0.7844060839997837
1 testBlocks 73 0 1 NaN 0.7833810000010999
1 testBlocks 74 0 1 NaN 0.7944530409986328
1 testBlocks 75 0 1 NaN 0.8395912089981721
1 testBlocks 76 0 1 NaN 0.8278840410021076
1 testBlocks 77 0 1 NaN 0.8041704999996
1 testBlocks 78 1 0 0.525 NaN
1 testBlocks 79 0 1 NaN 0.7920220830019389
2 testBlocks 0 0 1 NaN 0.8053369160006696
2 testBlocks 1 0 1 NaN 0.7729454159998568
2 testBlocks 2 0 1 NaN 0.8460103329998674
2 testBlocks 3 0 1 NaN 0.8059124169994902
2 testBlocks 4 0 1 NaN 0.827177582999866
2 testBlocks 5 0 1 NaN 0.7805944579995412
2 testBlocks 6 0 1 NaN 0.7596705420000944
2 testBlocks 7 0 1 NaN 0.8044018330001563
2 testBlocks 8 1 1 0.55 0.8163730829983251
2 testBlocks 9 0 1 NaN 0.7925617079999938
2 testBlocks 10 0 1 NaN 0.7593054999997548
2 testBlocks 11 0 1 NaN 0.770095207997656
2 testBlocks 12 0 1 NaN 0.8292652080017433
2 testBlocks 13 1 0 0.525 NaN
2 testBlocks 14 0 1 NaN 0.806219375001092
2 testBlocks 15 1 1 0.55 0.7934150000000955
2 testBlocks 16 0 1 NaN 0.8278375830013829
2 testBlocks 17 0 1 NaN 0.8392780840003979
2 testBlocks 18 1 0 0.525 NaN
2 testBlocks 19 1 0 0.55 NaN
2 testBlocks 20 0 1 NaN 0.8168575419986155
2 testBlocks 21 1 0 0.5750000000000001 NaN
2 testBlocks 22 0 1 NaN 0.817105291000189
2 testBlocks 23 0 1 NaN 0.8064705830001913
2 testBlocks 24 1 1 0.6000000000000001 0.7849742500002321
2 testBlocks 25 0 1 NaN 0.8040364580010646
2 testBlocks 26 0 1 NaN 0.8371627919987077
2 testBlocks 27 1 1 0.5750000000000001 0.8174060839992308
2 testBlocks 28 0 1 NaN 0.7944459159989492
2 testBlocks 29 1 0 0.55 NaN
2 testBlocks 30 0 1 NaN 0.7606353749979462
2 testBlocks 31 1 1 0.5750000000000001 0.8056270419983775
2 testBlocks 32 0 1 NaN 0.8053823749978619
2 testBlocks 33 0 1 NaN 0.8385613329992339
2 testBlocks 34 0 1 NaN 0.783956292001676
2 testBlocks 35 0 1 NaN 0.7946726250011125
2 testBlocks 36 0 1 NaN 0.8279988750000484
2 testBlocks 37 0 1 NaN 0.8048047909978777
2 testBlocks 38 1 1 0.55 0.7471254999982193
2 testBlocks 39 0 1 NaN 0.8038738750001357
2 testBlocks 40 1 0 0.525 NaN
2 testBlocks 41 1 0 0.55 NaN
2 testBlocks 42 0 1 NaN 0.8276367079997726
2 testBlocks 43 0 1 NaN 0.7937925420010288
2 testBlocks 44 0 1 NaN 0.8293069999999716
2 testBlocks 45 0 1 NaN 0.769704250000359
2 testBlocks 46 0 1 NaN 0.8162532500027737
2 testBlocks 47 0 1 NaN 0.8147601669988944
2 testBlocks 48 0 1 NaN 0.7910403329988185
2 testBlocks 49 0 1 NaN 0.8257584999992105
2 testBlocks 50 0 1 NaN 0.7498836659979133
2 testBlocks 51 0 1 NaN 0.8272835839998152
2 testBlocks 52 1 1 0.5750000000000001 0.772018207997462
2 testBlocks 53 0 1 NaN 0.8396255000006931
2 testBlocks 54 0 1 NaN 0.8595201250027458
2 testBlocks 55 1 1 0.55 0.8162127920004423
2 testBlocks 56 1 0 0.525 NaN
2 testBlocks 57 1 1 0.55 0.8023670000002312
2 testBlocks 58 1 0 0.525 NaN
2 testBlocks 59 0 1 NaN 0.7932650840011775
2 testBlocks 60 0 1 NaN 0.8153265830005694
2 testBlocks 61 0 1 NaN 0.8166533329967933
2 testBlocks 62 0 1 NaN 0.7832955830017454
2 testBlocks 63 0 1 NaN 0.7475524159999622
2 testBlocks 64 0 1 NaN 0.7937026670006162
2 testBlocks 65 0 1 NaN 0.7362480829979177
2 testBlocks 66 0 1 NaN 0.8279363749970798
2 testBlocks 67 1 0 0.55 NaN
2 testBlocks 68 1 1 0.5750000000000001 0.7486576660012361
2 testBlocks 69 0 1 NaN 0.8046890830009943
2 testBlocks 70 0 1 NaN 0.8277052500015998
2 testBlocks 71 0 1 NaN 0.8166744170011953
2 testBlocks 72 0 1 NaN 0.8050498330012488
2 testBlocks 73 0 1 NaN 0.7835739999973157
2 testBlocks 74 0 1 NaN 0.838858708000771
2 testBlocks 75 0 1 NaN 0.838001666998025
2 testBlocks 76 0 1 NaN 0.7948149170006218
2 testBlocks 77 0 1 NaN 0.8181266669998877
2 testBlocks 78 0 1 NaN 0.794200959000591
2 testBlocks 79 0 1 NaN 0.8162442079992616
